ticker,shortName,sector,industry,recommendationMean,overallRisk,beta,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,2.3,3,1.233113,-0.05,3.59,,28.29805,7.95,22.332,4.549077,0.23074,0.02477,0.795,0.301,0.0039,0.7407,0.5,165.903,0.036429998,0.0354,1.603,4.593
ENTX,Entera Bio Ltd.,Healthcare,Biotechnology,2.0,,1.834083,-0.39,-0.76,,-1.0131578,,0.35,2.2,0.0,0.0,,,,0.0,,0.476,-0.43675,-0.76962,7.175,7.612
ENV,"Envestnet, Inc",Technology,Software—Application,2.5,3,1.251125,-2.12,2.71,,20.166052,1.71,13.254,4.123284,0.0784,-0.087910004,,-0.02,,0.0,,138.302,0.00126,-0.13489,0.609,0.727
ENVA,"Enova International, Inc.",Financial Services,Credit Services,1.8,3,1.580187,6.29,8.95,8.769475,6.1631284,,40.471,1.3629513,0.0,0.19920999,-0.038,0.059,,0.0,,186.132,0.05632,0.17108,14.174,14.871
ENVB,"Enveric Biosciences, Inc.",Healthcare,Biotechnology,2.0,,0.325131,-10.42,-3.8,,-0.7157895,,5.007,0.5432395,0.0,0.0,,,,0.0,,0.325,-0.52117,-1.03887,3.517,4.154
ENVX,Enovix Corporation,Industrials,Electrical Equipment & Parts,1.8,8,1.380784,-1.14,-0.93,,-19.032259,,1.556,11.375322,0.0,0.0,,-0.992,,0.0,,70.98,-0.22485,-0.68371004,10.948,11.07
ENX,19801,Financial Services,Asset Management,,,0.394527,-0.67,,,,,10.813,0.87672246,0.0,-0.99093,,0.148,0.0379,,4.29,62.521,0.01925,-0.05939,1.547,1.563
ENZ,"Enzo Biochem, Inc.",Healthcare,Diagnostics & Research,,,0.96259,-0.97,-0.39,,-3.948718,,0.381,4.0419946,-0.57725,-0.64185995,,-0.386,,0.0,,115.802,-0.31081,-1.12371,0.291,0.759
EOD,Wells Fargo Global Dividend Opp,Financial Services,Asset Management,,,,-0.06,,,,,,,0.0,0.0,,,0.0986,,11.29,,,,,
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,1.9,2,1.553169,16.0,12.55,8.095625,10.3211155,-11.87,45.098,2.8721895,0.58573,0.34517,-0.302,-0.369,0.025899999,0.2123,1.96,15.802,0.17355,0.35854,1.884,2.387
EOI,Eaton Vance Enhance Equity Inco,Financial Services,Asset Management,,,1.108763,-1.21,,,,,15.585,1.0664101,0.0,0.0,2.367,-0.094,0.0804,,7.27,,0.0027200002,-0.071279995,0.339,0.365
EOLS,"Evolus, Inc. Common Stock",Healthcare,Drug Manufacturers—Specialty & Generic,1.9,7,1.640457,-1.39,-0.39,,-24.102564,-0.95,-0.122,,-0.2402,-0.39363,,0.328,,0.0,,,-0.14772001,-3.32703,1.71,2.333
EOS,Eaton Vance Enhance Equity Inco,Financial Services,Asset Management,,,1.216141,-6.38,,,,,15.749,1.1607087,0.0,0.0,,0.04,0.076799996,,7.07,,-0.00064000004,-0.32244998,0.113,0.14
EOSE,"Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,2.4,,2.740329,-4.07,-0.74,,-3.1216216,,-1.844,,0.0,0.0,,1.679,,0.0,,,-1.10457,,0.363,0.762
EOSEW,"Eos Energy Enterprises, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
EOT,Eaton Vance Municipal Income Tr,Financial Services,Asset Management,,,,-1.0,,,,,,,0.0,0.0,,,0.045,,4.18,,,,,
EP,Empire Petroleum Corporation,Energy,Oil & Gas E&P,,8,1.38275,0.04,,229.50002,,,0.887,10.349493,0.14374,0.01963,,-0.196,,0.0,,40.439,0.030079998,0.059710003,0.899,1.155
EPAC,Enerpac Tool Group Corp.,Industrials,Specialty Industrial Machinery,3.0,4,1.362313,0.71,1.35,38.08451,20.02963,,5.974,4.526281,0.21823,0.0583,6.954,0.029,0.0015,0.0563,0.18,69.714,0.08765,0.116000004,1.773,2.663
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,2.4,9,1.490474,7.17,11.01,33.967922,22.1208,3.77,56.298,4.326086,0.1539,0.11022,5.344,-0.021,,0.0,,5.542,0.10697,0.18121,4.735,4.917
EPC,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,2.6,4,0.948735,1.81,2.81,21.61326,13.921708,7.48,30.526,1.2815305,0.14704001,0.051939998,0.772,0.042,0.0155,0.33150002,,89.64,0.040949997,0.077309996,0.686,1.705
EPD,Enterprise Products Partners L.,Energy,Oil & Gas Midstream,1.8,,1.038794,2.54,2.65,10.437008,10.003774,1.95,12.319,2.1519604,0.16519,0.103920005,-0.111,-0.337,0.0754,0.78139997,7.66,103.87,,,,
EPIX,ESSA Pharma Inc.,Healthcare,Biotechnology,,,2.063041,-0.64,-1.0,,-2.8,,3.546,0.78962207,0.0,0.0,,,,0.0,,0.093,-0.119040005,-0.17282,73.163,73.658
EPM,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,2.0,2,0.987183,1.48,1.08,6.6013517,9.046296,,2.932,3.3321967,0.51076,0.32766,1.42,0.435,0.050100002,0.3108,6.31,0.205,0.31421,0.62255,1.407,1.526
EPOW,"Sunrise New Energy Co., Ltd",Industrials,Electrical Equipment & Parts,,,-0.012181,-0.88,,,,,1.269,1.7178881,-0.36643,-0.58764,,13.162,,0.0,,15.897,-0.12189,-0.35484,0.45,1.715
EPR,EPR Properties,Real Estate,REIT—Specialty,2.4,4,1.66124,2.24,2.5,19.214287,17.216,2.45,32.961,1.3057857,0.79697,0.24245001,-0.783,0.063,0.0767,1.7742,,122.388,0.040560003,0.0648,1.64,1.945
EPRT,Essential Properties Realty Tru,Real Estate,REIT—Diversified,1.9,7,1.262556,1.07,1.02,22.504671,23.607843,0.86,18.036,1.3351076,0.89123,0.53143,0.29,0.211,0.047,0.9565,,50.973,0.02949,0.06627,1.881,1.953
EPSN,Epsilon Energy Ltd.,Energy,Oil & Gas E&P,,,0.352615,1.43,0.59,4.3566437,10.559322,,4.597,1.3552316,0.76401,0.50334,-0.375,-0.312,0.0418,0.1761,,0.517,0.23489,0.34982,9.476,9.901
EQ,"Equillium, Inc.",Healthcare,Biotechnology,2.0,,1.24786,-0.72,-0.79,,-1.0113924,,0.85,0.94,-1.16612,-1.17505,,,,0.0,,29.649,-0.24700001,-0.70699,2.096,2.193
EQBK,"Equity Bancshares, Inc.",Financial Services,Banks—Regional,2.2,7,0.791132,3.16,2.9,8.525316,9.289655,0.91,27.177,0.9912794,0.0,0.25882998,-0.213,-0.037,0.0148,0.1266,,,0.01001,0.119440004,,
EQC,Equity,Real Estate,REIT—Office,3.5,2,0.403533,0.46,-0.1,42.282608,-194.5,,20.639,0.9423907,-0.05431,1.17117,13.951,-0.061,,0.0,,,-0.00492,0.02688,80.687,80.687
EQH,"Equitable Holdings, Inc.",Financial Services,Insurance—Diversified,2.1,1,1.409075,3.62,6.44,8.035912,4.517081,0.26,6.104,4.7657275,0.19216,0.1073,-0.538,-0.617,0.030299999,0.7321,2.42,94.329,,,,
EQIX,"Equinix, Inc.",Real Estate,REIT—Specialty,2.1,4,0.6363,8.78,10.31,88.197044,75.10863,4.47,128.511,6.0257096,0.3641,0.11218,-0.068,0.111,0.018,1.5035001,1.72,142.566,0.017,0.07111,1.806,2.019
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,1.7,1,0.549962,9.03,6.14,3.5825026,5.2687297,,8.172,3.9586391,0.51435,0.18705,-0.716,-0.371,0.038900003,0.0864,3.79,61.522,0.24576999,0.52908003,1.654,1.83
EQR,Equity Residential,Real Estate,REIT—Residential,2.6,7,0.840665,2.36,1.65,27.7839,39.739395,2.61,28.986,2.2621264,0.61812,0.29578,-0.384,0.044,0.0405,1.2106,3.37,66.974,0.02688,0.07498,0.098,0.24
EQRX,"EQRx, Inc.",Healthcare,Biotechnology,3.0,9,0.625819,-0.57,-0.67,,-3.3283582,,2.733,0.81595314,0.0,0.0,,,,0.0,,0.245,-0.15057999,-0.19027,22.142,22.627
EQRXW,,,,,,,,,,,,,,,,,,,,,,,,,
EQS,"Equus Total Return, Inc.",Financial Services,Asset Management,,,0.93107,-0.24,,,,,2.523,0.59453034,0.0,0.0,,,,0.0,,29.297,-0.05603,-0.093059994,1.786,2.758
EQT,EQT Corporation,Energy,Oil & Gas E&P,2.1,5,1.209213,9.0,4.43,4.886667,9.927766,0.81,33.197,1.3248185,0.74869,0.40096,,-0.75,0.014400001,0.066700004,,38.784,0.14247,0.33628,0.775,1.111
EQX,Equinox Gold Corp.,Basic Materials,Gold,3.0,2,0.727793,-0.24,-0.12,,-40.75,,7.683,0.6364701,0.23462,0.01508,,0.209,,0.0,,35.867,0.00264,0.00635,0.92,1.971
ERAS,"Erasca, Inc.",Healthcare,Biotechnology,1.7,8,1.117882,-1.86,-1.14,,-2.2982454,0.15,2.565,1.0214424,0.0,0.0,,,,0.0,,15.023,-0.19614,-0.59066004,15.309,15.589
ERC,109188,Financial Services,Asset Management,,,0.700034,0.15,,64.33333,,,9.819,0.9827884,0.0,0.15994,,0.056,0.086899996,6.2769,10.2,43.183,0.03486,0.01461,0.083,0.083
ERF,Enerplus Corporation,Energy,Oil & Gas E&P,1.9,3,2.839541,4.26,2.37,4.007042,7.202532,0.26,5.295,3.223796,0.72911,0.48696,3.769,-0.198,0.013300001,0.047399998,1.72,19.581,0.37547,1.1748,0.639,0.755
ERH,40135,Financial Services,Asset Management,,,0.847592,-0.72,,,,,11.172,0.9013605,0.83694,-1.16359,,0.092,0.088599995,,7.19,28.898,0.02044,-0.060399998,0.05,0.05
ERIC,Ericsson,Technology,Communication Equipment,3.1,3,0.255866,0.36,0.56,13.833333,8.892858,-1.49,3.251,1.5318364,0.109230004,0.04309,,0.032,0.049000002,0.71989995,2.11,32.138,0.04269,0.09631,0.782,1.102
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,2.0,,0.43055,6.05,8.43,45.457848,32.62396,3.57,29.545,9.308512,0.16562,0.11663,0.471,0.157,0.0174,0.6913,2.05,,0.12537,0.24539,1.237,1.338
ERII,"Energy Recovery, Inc.",Industrials,Pollution & Treatment Controls,2.2,4,1.242812,0.17,0.52,157.17647,51.384617,4.47,3.223,8.290412,0.11886,0.09874,,0.021,,0.0,,7.799,0.027460001,0.06142,7.271,9.895
ERJ,Embraer S.A.,Industrials,Aerospace & Defense,2.1,8,1.02742,-1.25,1.13,,13.053098,1.77,69.696,0.21163338,-0.00524,-0.04777,,0.211,,0.0,,122.999,-0.00614,-0.09287,0.88,1.749
ERNA,Eterna Therapeutics Inc.,Healthcare,Biotechnology,3.0,,9.631913,-5.35,-9.6,,-0.29790625,,1.439,1.9874218,0.0,0.0,,,,0.0,,13.672,-0.64988,-1.67024,1.118,1.205
ERO,Ero Copper Corp.,Basic Materials,Copper,,2,2.186723,0.79,0.09,27.050632,237.44444,,7.052,3.0303462,0.34695998,0.19496,0.227,-0.087,,0.0,,66.749,0.04202,0.13909,1.471,2.004
ES,Eversource Energy (D/B/A),Utilities,Utilities—Regulated Electric,2.3,6,0.484239,4.17,4.65,16.052757,14.3956995,2.29,44.565,1.5020757,0.30087,0.09283,-0.952,0.022,0.0403,0.77889997,2.8,158.005,0.030739998,0.07656,0.268,0.642
ESAB,ESAB Corporation,Industrials,Metal Fabrication,2.3,2,,3.32,4.62,21.69277,15.588744,3.61,24.997,2.8811457,0.16875,0.0783,0.181,0.09,0.0033000002,0.0602,,81.298,0.063379996,0.15396,0.788,1.733
ESAC,ESGEN Acquisition Corporation,Financial Services,Shell Companies,,,,0.25,,43.82,,,-1.503,,0.0,0.0,,,,0.0,,,,,0.014,0.025
ESACU,ESGEN Acquisition Corporation,Financial Services,Shell Companies,,,,,,,,,-1.503,,0.0,0.0,,,,,,,,,0.014,0.025
ESCA,"Escalade, Incorporated",Consumer Cyclical,Leisure,,,1.250779,0.75,1.96,20.226667,7.7397957,,11.532,1.3154701,0.07643,0.030739998,-0.377,-0.282,0.0399,1.0,4.12,58.82,0.032420002,0.05313,1.698,5.277
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,1.3,3,1.13197,3.34,4.25,30.703594,24.129412,1.88,41.959,2.4440527,0.18583,0.09538,0.08,0.118,0.0031,0.0958,0.39,20.783,0.04541,0.082609996,1.203,1.919
ESEA,Euroseas Ltd.,Industrials,Marine Shipping,2.0,,0.768964,14.8,10.78,1.5033784,2.0640075,0.3,26.953,0.8255111,0.60039,0.5861,-0.007,-0.076,0.091800004,0.1356,,62.626,0.20934,0.70321,0.596,0.657
ESGL,ESGL Holdings Limited,Industrials,Waste Management,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,
ESGLW,ESGL Holdings Limited Warrants,Industrials,Waste Management,,,,,,,,,,,0.0,0.0,,,,,,,,,,
ESGR,Enstar Group Limited,Financial Services,Insurance—Diversified,,7,0.606165,-12.63,35.9,,7.0685234,0.65,312.052,0.8131978,0.97122,0.99281,,,,0.0,,35.868,0.0069,0.06436,34.387,48.689
ESGRO,Enstar Group Limited - Deposito,Financial Services,Insurance—Diversified,,7,0.606165,-1.493,,,,,312.052,0.078416415,0.97122,0.99281,,,0.0714,,,35.868,0.0069,0.06436,34.387,48.689
ESGRP,Enstar Group Limited - Deposita,Financial Services,Insurance—Diversified,,7,0.606165,-1.493,,,,,312.052,0.07642957,0.97122,0.99281,,,0.0733,,,35.868,0.0069,0.06436,34.387,48.689
ESHA,ESH Acquisition Corp.,Financial Services,Shell Companies,,,,,,,,,0.001,10090.0,0.0,0.0,,,,,,13856.746,,,0.065,0.065
ESHAR,ESH Acquisition Corp.,,,,,,,,,,,0.001,159.99998,0.0,0.0,,,,,,13856.746,,,0.065,0.065
ESI,Element Solutions Inc.,Basic Materials,Specialty Chemicals,2.2,7,1.308278,0.7,1.51,29.800001,13.81457,2.11,9.539,2.1868122,0.18153,0.05895,-0.526,-0.134,0.0156,0.5714,,87.981,0.033239998,0.05745,2.028,3.323
ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,3.0,,-0.079553,6.38,7.88,33.796238,27.362944,2.73,62.662,3.441001,0.089320004,0.05129,0.176,0.03,0.0095,0.2347,1.18,47.923,0.02211,0.106359996,0.701,1.177
ESMT,"EngageSmart, Inc.",Technology,Software—Infrastructure,1.9,10,,0.13,0.39,130.23077,43.41026,2.11,4.929,3.434774,0.12575,0.05822,-0.35,0.278,,0.0,,3.623,0.01721,0.025109999,6.877,7.142
ESNT,Essent Group Ltd.,Financial Services,Insurance—Specialty,1.9,2,1.149289,6.79,6.66,7.793814,7.9459457,0.84,44.242,1.1961484,0.8156,0.66305,-0.255,0.064,0.019,0.1525,,8.903,0.08902001,0.14846,1.428,2.393
ESOA,Energy Services of America Corp,Industrials,Engineering & Construction,2.0,,0.804295,0.11,0.36,27.09091,8.277778,,1.539,1.9363222,0.04789,0.00634,,0.517,,0.0,,179.876,0.02957,0.049640004,0.891,0.99
ESP,Espey Mfg. & Electronics Corp.,Industrials,Electrical Equipment & Parts,3.0,,0.143747,1.23,0.01,13.552845,1667.0,,14.129,1.179843,0.11619,0.08559,0.296,0.138,0.0117,0.0806,,,0.05361,0.09231,1.962,3.784
ESPR,"Esperion Therapeutics, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,1.9,7,0.154485,-3.23,0.14,,11.357143,-0.05,-3.688,,-1.9277,-2.5281599,,0.369,,0.0,,,-0.39407003,,1.673,2.166
ESQ,"Esquire Financial Holdings, Inc",Financial Services,Banks—Regional,2.0,10,0.843782,4.61,4.76,11.219089,10.865546,,23.205,2.22883,0.0,0.38266,0.41,0.338,0.0098,0.09,,,0.02762,0.23497999,,
ESRT,"Empire State Realty Trust, Inc.",Real Estate,REIT—Diversified,2.6,7,1.279875,0.33,0.13,26.363634,66.92308,,6.006,1.4485514,0.42418998,0.07044,-0.231,0.064,0.0161,0.48279998,2.63,132.737,0.020550001,0.0476,8.254,10.463
ESS,"Essex Property Trust, Inc.",Real Estate,REIT—Residential,3.0,4,0.784897,7.52,5.84,32.25399,41.532536,4.65,87.021,2.7872581,0.65480006,0.31434,0.782,0.094,0.0379,1.0987,3.09,103.718,0.02833,0.094689995,0.254,0.745
ESSA,"ESSA Bancorp, Inc.",Financial Services,Banks—Regional,3.0,,0.294769,2.1,1.84,8.333334,9.510869,,22.464,0.7790242,0.0,0.28004,-0.118,-0.004,0.0347,0.2941,2.76,,0.00981,0.09155,,
ESTA,Establishment Labs Holdings Inc,Healthcare,Medical Devices,1.4,,1.01143,-3.27,-1.43,,-43.356644,,-0.654,,-0.22613001,-0.47839,,0.21,,0.0,,,-0.15047,-5.10179,2.023,3.425
ESTC,Elastic N.V.,Technology,Software—Application,2.1,5,0.987675,-2.51,1.41,,42.19149,0.74,4.097,14.520381,-0.15123,-0.22092,,0.17,,0.0,,148.969,-0.067140006,-0.58001,1.641,1.778
ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,2.1,8,2.11188,6.04,3.96,2.718543,4.146465,0.16,16.525,0.993646,0.69095004,0.25402,-0.629,-0.217,,0.0,,41.264,0.13913,0.30299,0.484,0.554
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,1.5,,1.687218,1.34,1.5,9.664179,8.633333,1.53,8.753,1.4794927,0.14836,0.05177,-0.359,-0.294,0.0963,0.9229,9.97,117.973,0.04542,0.13151,,0.814
ETAO,"Etao International Co., Ltd.",Healthcare,Health Information Services,,,0.442871,,,,,,5.487,0.08585748,-0.03818,-0.08178,,1.115,,,,11.429,,,0.537,0.694
ETB,Eaton Vance Tax-Managed Buy-Wri,Financial Services,Asset Management,,,0.966401,-2.1,,,,,13.104,1.0416666,0.0,0.0,-0.865,0.126,0.083000004,,8.57,,0.0038800002,-0.14272,0.132,0.268
ETD,Ethan Allen Interiors Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2.3,2,1.227225,4.38,3.4,7.965753,10.261765,1.18,17.874,1.9519972,0.18833,0.1337,-0.197,-0.184,0.040999997,0.3196,4.45,27.674,,0.24590999,,
ETG,Eaton Vance Tax-Advantaged Glob,Financial Services,Asset Management,,,1.329061,0.55,,30.672728,,,17.774,0.94913924,0.0,0.64107,,0.132,0.0717,2.5056,7.77,27.227,0.01781,0.030539999,1.531,1.71
ETI,6211,,,,,,,,,,,,,,,,,,,,,,,,
ETJ,Eaton Vance Risk-Managed Divers,Financial Services,Asset Management,,,,-1.52,,,,,,,0.0,0.0,,,0.0855,,9.6,,,,,
ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,2.3,3,1.121233,6.39,9.76,34.460094,22.561474,2.05,44.995,4.893877,0.19885,0.122959994,0.24,0.125,0.0156,0.4934,2.6,54.378,0.05984,0.15794,0.895,1.532
ETNB,"89bio, Inc.",Healthcare,Biotechnology,1.4,7,0.724257,-2.07,-2.4,,-6.495833,-0.77,6.118,2.5482185,0.0,0.0,,,,0.0,,5.528,-0.20962,-0.38389,20.024,20.555
ETO,Eaton Vance Tax-Advantage Globa,Financial Services,Asset Management,,,1.495323,0.59,,39.40678,,,24.244,0.9590002,0.0,0.48404998,,0.187,0.0721,3.2251,8.4,25.924,0.018509999,0.02372,1.525,1.525
ETON,"Eton Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2.0,,1.349932,-0.24,0.09,,28.999998,,0.441,5.918367,-0.16334,-0.26051,,1.438,,0.0,,58.803,-0.15138,-0.51584,2.346,2.551
ETR,Entergy Corporation,Utilities,Utilities—Regulated Electric,2.2,5,0.641842,5.48,7.19,17.770073,13.54381,2.2,62.6,1.5555911,0.34858,0.10281,1.359,-0.162,0.044,0.6443,3.69,200.774,0.028180001,0.10687,0.446,0.798
ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,2.6,1,1.954467,-0.75,1.02,,9.647059,7.88,2.198,4.476797,0.75606,-0.1855,0.126,-0.031,0.061,,,329.121,0.040510003,-0.102,0.766,0.9
ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,2.5,10,2.000346,-5.55,2.83,,29.208483,2.18,-3.766,,0.16174,-0.26841998,-0.122,0.075,,0.0,,,0.07617,-12.245009,2.185,2.809
ETV,Eaton Vance Corporation Eaton V,Financial Services,Asset Management,,,0.911326,-2.74,,,,,12.102,1.0799867,0.0,0.0,,0.221,0.0877,,9.09,,0.00234,-0.19528,0.195,0.404
ETW,Eaton Vance Corporation Eaton V,Financial Services,Asset Management,,,0.961898,-1.71,,,,,8.385,0.97316635,0.0,0.0,-0.789,0.045,0.0853,,9.54,,0.00654,-0.17602,0.555,0.768
ETWO,"E2open Parent Holdings, Inc.",Technology,Software—Application,3.0,6,0.341377,-3.22,0.26,,18.653847,2.0,7.221,0.6716521,0.28563,-1.4767,,-0.002,,0.0,,45.505,-0.0027200002,-0.36720002,0.823,0.941
ETX,Eaton Vance Municipal Income 20,Financial Services,Asset Management,,,,-0.78,-0.01,,-1736.0001,,,,0.0,0.0,,,0.04,,4.11,,,,,
ETY,Eaton Vance Tax-Managed Diversi,Financial Services,Asset Management,,,1.0956,0.61,,20.180328,,,11.893,1.0350627,0.0,3.2263,,-0.022,0.0789,1.7056,8.58,,0.00336,0.05056,0.15,0.223
EU,enCore Energy Corp.,Energy,Uranium,2.0,,1.198185,-0.19,,,,,1.634,1.5177479,0.0,0.0,,,,0.0,,24.48,-0.05687,-0.09889,3.09,7.143
EUDA,Euda Health Holdings Limited,Healthcare,Health Information Services,,,,-2.04,,,,,-0.295,,-1.4489701,0.0,,-0.363,,0.0,,,-0.48119,,0.078,0.792
EUDAW,,,,,,,,,,,,,,,,,,,,,,,,,
EURN,Euronav NV,Energy,Oil & Gas Midstream,2.0,,,2.1,3.51,8.319525,5.3756924,-0.43,10.601,1.6480522,0.63197,0.46137002,,1.027,0.1529,0.6267,5.06,83.152,0.091709994,0.28985,1.48,1.66
EVA,Enviva Inc.,Basic Materials,Lumber & Wood Production,2.4,,1.086595,-3.91,-0.47,,-25.808512,-0.15,5.187,2.338539,0.03928,-0.23628001,,0.019,,,8.1,449.029,-0.02227,-0.6951,0.323,0.787
EVAX,Evaxion Biotech A/S,Healthcare,Biotechnology,1.5,,0.450323,-0.96,-1.96,,-0.53571427,,0.344,3.0523252,0.0,0.0,,,,0.0,,123.51,,,,
EVBG,"Everbridge, Inc.",Technology,Software—Application,2.7,4,,-1.57,1.84,,12.459238,0.15,7.205,3.181818,0.0,0.0,,,,0.0,,,,,,
EVBN,"Evans Bancorp, Inc.",Financial Services,Banks—Regional,2.7,,0.935919,4.24,2.87,7.0377364,10.397213,,29.387,1.0154151,0.0,0.25445998,-0.126,-0.085,0.0428,0.3163,3.37,,0.01038,0.14055,,
EVC,Entravision Communications Corp,Communication Services,Advertising Agencies,1.7,9,1.175268,0.21,0.55,17.952381,6.854545,-0.77,2.659,1.4178263,0.069520004,0.00745,,0.233,0.0519,0.5952,4.8,94.106,0.03407,0.03546,1.349,1.5
EVCM,EverCommerce Inc.,Technology,Software—Infrastructure,2.2,9,1.167166,-0.35,0.5,,22.28,0.91,4.572,2.4365704,0.1265,-0.10541,,0.122,,0.0,,62.038,-0.00871,-0.073070005,1.259,1.55
EVE,EVe Mobility Acquisition Corp,Financial Services,Shell Companies,,,,0.16,,65.9375,,,-0.279,,0.0,0.0,,,,0.0,,,,,0.073,0.565
EVER,"EverQuote, Inc.",Communication Services,Internet Content & Information,2.3,10,1.114651,-0.67,-0.75,,-12.837209,0.67,3.387,1.6297609,-0.05422,-0.05272,,-0.013,,0.0,,4.805,-0.09396,-0.19834,1.72,1.835
EVEX,"Eve Holding, Inc.",Industrials,Aerospace & Defense,2.2,,0.670196,-0.69,-0.67,,-12.597014,,0.975,8.656409,0.0,0.0,,,,0.0,,,-0.41229,-1.42624,8.97,8.993
EVF,Eaton Vance Senior Income Trust,Financial Services,Asset Management,,,0.58365,-0.52,,,,,5.896,0.96506107,0.0,-0.69802004,0.318,0.345,0.1185,,6.93,12.764,0.03339,-0.05524,0.233,0.261
EVG,Eaton Vance Short Diversified I,Financial Services,Asset Management,,,0.470384,-0.09,,,,,10.686,0.9414187,0.0,-0.09567001,,0.417,0.0923,,8.3,18.797,0.03237,-0.00825,0.076,0.168
EVGN,Evogene Ltd.,Healthcare,Biotechnology,2.0,,0.914691,-0.61,-0.38,,-2.3700001,,0.531,1.6960452,0.0,0.0,,1.705,,0.0,,5.766,-0.2759,-0.66611,5.754,5.864
EVGO,EVgo Inc.,Consumer Cyclical,Specialty Retail,2.5,10,1.947281,-0.37,-0.69,,-7.1594205,,-1.877,,-1.02036,-0.33218,,4.57,,0.0,,9.03,-0.123859994,-0.2409,3.572,3.659
EVGOW,EVgo Inc. Warrants,,,,,,,,,,,,,,,,,,,,,,,,
EVGR,Evergreen Corporation,Financial Services,Shell Companies,,,,0.21,,51.95238,,,-0.438,,0.0,0.0,,,,0.0,,,,,0.004,0.017
EVGRU,Evergreen Corporation,Financial Services,Shell Companies,,,,,,,,,-0.438,,0.0,0.0,,,,,,,,,0.004,0.017
EVGRW,Evergreen Corporation Warrant,,,,,,,,,,,,,,,,,,,,,,,,
EVH,"Evolent Health, Inc",Healthcare,Health Information Services,1.6,1,1.528922,-0.36,0.88,,32.829544,1.85,9.801,2.9476585,0.053340003,-0.03893,,0.466,,0.0,,54.959,0.00587,-0.06762,0.902,1.066
EVI,"EVI Industries, Inc.",Industrials,Industrial Distribution,,10,0.379979,0.64,,39.859375,,,10.195,2.502207,0.06132,0.0272,65.854,0.567,,0.0,,37.386,0.04092,0.07673,0.768,1.631
EVLO,"Evelo Biosciences, Inc.",Healthcare,Biotechnology,2.7,,1.572566,-18.77,-9.94,,-0.92756546,,-4.938,,0.0,0.0,,,,0.0,,,-1.29753,,0.48,0.525
EVLV,"Evolv Technologies Holdings, In",Industrials,Security & Protection Services,2.2,10,1.299079,-0.69,-0.23,,-26.434782,,1.378,4.4121914,-1.45073,-1.55556,,1.133,,0.0,,0.859,-0.19245,-0.41825,4.086,4.628
EVLVW,,Industrials,Security & Protection Services,,10,1.299079,-0.111,,,,,1.378,0.99782294,-1.45073,-1.55556,,1.133,,,,0.859,-0.19245,-0.41825,4.086,4.628
EVM,29200,Financial Services,Asset Management,,,0.375822,-0.41,,,,,10.422,0.84628665,0.0,-0.63951,,-0.014,0.0396,,4.47,53.593,,,2.168,2.168
EVN,Eaton Vance Municipal Income Tr,Financial Services,Asset Management,,,0.370973,-0.45,,,,,11.187,0.8760168,0.0,-0.6215,,-0.038,0.0461,,4.76,44.492,0.02157,-0.03899,2.048,2.048
EVO,Evotec SE,Healthcare,Drug Manufacturers—Specialty & Generic,2.0,5,0.981453,-0.57,0.35,,34.514286,-0.64,3.3595,3.5957732,0.10880999,-0.23375,,0.287,,0.0,,42.679,0.00566,-0.13697,2.888,3.179
EVOK,"Evoke Pharma, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2.0,,0.332178,-2.42,-1.32,,-1.0681818,-0.02,0.636,2.2169812,0.0,-2.85918,,0.937,,0.0,,239.465,-0.5173,-4.08532,5.305,5.93
EVR,Evercore Inc.,Financial Services,Capital Markets,2.1,5,1.522341,8.5,11.7,16.242353,11.8,-4.86,37.102,3.721093,0.0,0.1385,-0.592,-0.208,0.0217,0.3435,2.58,51.6,0.124960005,0.24243,2.121,2.787
